@relation MyRelation

@attribute car_spec {E}
@attribute prec1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute prec2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv1_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv2_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute suiv3_spec {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute deb2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin1 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute fin2 {'\'',|,>,&,<,'}',A,b,p,t,v,j,H,x,d,*,r,z,s,$,c,S,D,T,Z,E,g,f,q,k,l,m,n,h,w,Y,y,F,N,K,a,u,i,~,o,'{',-,_}
@attribute classe {ajout_y,supp_esp}

@data
$,w,m,-,-,-,A,t,w,$,ajout_y
$,w,d,-,-,-,n,t,w,$,ajout_y
$,w,d,-,-,-,t,t,w,$,ajout_y
$,w,d,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,r,w,$,ajout_y
$,w,d,-,-,-,t,r,w,$,ajout_y
$,w,d,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,t,t,w,$,ajout_y
$,w,t,-,-,-,t,H,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,n,-,-,-,n,t,w,$,ajout_y
$,w,n,-,-,-,t,t,w,$,ajout_y
$,w,t,-,-,-,t,H,w,$,ajout_y
$,w,n,-,-,-,A,t,w,$,ajout_y
$,w,f,-,-,-,n,t,w,$,ajout_y
$,w,f,-,-,-,t,t,w,$,ajout_y
$,w,f,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,k,w,$,ajout_y
$,w,f,-,-,-,t,k,w,$,ajout_y
$,w,f,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,t,t,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,x,w,$,ajout_y
$,w,l,-,-,-,t,x,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,t,t,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,s,w,$,ajout_y
$,w,l,-,-,-,t,s,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,t,n,m,t,w,n,t,w,$,ajout_y
$,t,t,m,t,w,t,t,w,$,ajout_y
$,t,y,m,t,w,y,t,w,$,ajout_y
$,t,-,m,t,t,t,$,w,$,ajout_y
$,t,-,m,t,w,t,$,w,$,ajout_y
$,t,A,m,t,w,A,t,w,$,ajout_y
$,g,t,$,w,$,t,t,w,$,ajout_y
$,g,t,$,w,$,y,t,w,$,ajout_y
$,g,t,$,t,w,t,g,w,$,ajout_y
$,g,t,$,w,$,A,t,w,$,ajout_y
$,w,z,-,-,-,n,t,w,$,ajout_y
$,w,z,-,-,-,t,t,w,$,ajout_y
$,w,z,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,m,w,$,ajout_y
$,w,z,-,-,-,A,t,w,$,ajout_y
$,w,s,-,-,-,n,t,w,$,ajout_y
$,w,s,-,-,-,t,t,w,$,ajout_y
$,w,s,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,n,w,$,ajout_y
$,w,s,-,-,-,t,n,w,$,ajout_y
$,w,s,-,-,-,A,t,w,$,ajout_y
$,w,k,-,-,-,n,t,w,$,ajout_y
$,w,k,-,-,-,t,t,w,$,ajout_y
$,w,t,-,-,-,t,H,w,$,ajout_y
$,w,k,-,-,-,A,t,w,$,ajout_y
$,b,x,w,$,-,n,t,w,$,ajout_y
$,b,x,w,$,-,t,t,w,$,ajout_y
$,b,x,t,w,$,t,x,w,$,ajout_y
$,b,x,w,$,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,t,t,w,$,ajout_y
$,w,t,-,-,-,t,b,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,v,-,-,-,n,t,w,$,ajout_y
$,w,v,-,-,-,t,t,w,$,ajout_y
$,w,v,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,H,w,$,ajout_y
$,w,v,-,-,-,A,t,w,$,ajout_y
$,w,m,-,-,-,n,t,w,$,ajout_y
$,w,m,-,-,-,t,t,w,$,ajout_y
$,w,t,-,-,-,t,q,w,$,ajout_y
$,w,m,-,-,-,A,t,w,$,ajout_y
$,w,d,-,-,-,n,t,w,$,ajout_y
$,w,d,-,-,-,t,t,w,$,ajout_y
$,w,t,-,-,-,t,j,w,$,ajout_y
$,w,d,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,t,t,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,k,w,$,ajout_y
$,w,l,-,-,-,t,k,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,t,t,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,H,w,$,ajout_y
$,w,l,-,-,-,t,H,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,k,-,-,-,n,t,w,$,ajout_y
$,w,k,-,-,-,t,t,w,$,ajout_y
$,w,k,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,m,w,$,ajout_y
$,w,k,-,-,-,t,m,w,$,ajout_y
$,w,k,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,t,t,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,H,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,y,r,w,$,ajout_y
$,w,l,-,-,-,r,d,w,$,ajout_y
$,w,q,-,-,-,n,t,w,$,ajout_y
$,w,q,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,s,w,$,ajout_y
$,w,q,-,-,-,t,s,w,$,ajout_y
$,w,q,-,-,-,A,t,w,$,ajout_y
$,w,'}',-,-,-,n,t,w,$,ajout_y
$,w,'}',-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,f,w,$,ajout_y
$,w,'}',-,-,-,A,t,w,$,ajout_y
$,t,n,A,b,h,n,t,w,$,ajout_y
$,t,y,A,b,h,y,t,w,$,ajout_y
$,t,-,A,b,h,t,$,w,$,ajout_y
$,t,-,A,b,h,t,$,w,$,ajout_y
$,t,A,A,b,h,A,t,w,$,ajout_y
$,w,t,-,-,-,t,l,w,$,ajout_y
$,w,t,-,-,-,t,f,w,$,ajout_y
$,w,D,-,-,-,n,t,w,$,ajout_y
$,w,D,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,E,w,$,ajout_y
$,w,D,-,-,-,A,t,w,$,ajout_y
$,w,k,-,-,-,n,t,w,$,ajout_y
$,w,k,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,E,w,$,ajout_y
$,w,k,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,q,w,$,ajout_y
$,w,l,-,-,-,t,q,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,f,-,-,-,n,t,w,$,ajout_y
$,w,f,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,E,w,$,ajout_y
$,w,f,-,-,-,t,E,w,$,ajout_y
$,w,f,-,-,-,A,t,w,$,ajout_y
$,q,A,w,$,-,n,t,w,$,ajout_y
$,q,A,t,w,$,t,n,w,$,ajout_y
$,q,A,w,$,-,A,t,w,$,ajout_y
$,w,b,-,-,-,n,t,w,$,ajout_y
$,w,b,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,D,w,$,ajout_y
$,w,b,-,-,-,t,D,w,$,ajout_y
$,w,b,-,-,-,A,t,w,$,ajout_y
$,w,n,-,-,-,n,t,w,$,ajout_y
$,w,n,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,h,w,$,ajout_y
$,w,n,-,-,-,t,h,w,$,ajout_y
$,w,n,-,-,-,A,t,w,$,ajout_y
$,w,f,-,-,-,n,t,w,$,ajout_y
$,w,f,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,x,w,$,ajout_y
$,w,f,-,-,-,t,x,w,$,ajout_y
$,w,f,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,n,w,$,ajout_y
$,w,l,-,-,-,t,n,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,l,-,-,-,n,t,w,$,ajout_y
$,w,l,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,E,w,$,ajout_y
$,w,l,-,-,-,t,E,w,$,ajout_y
$,w,l,-,-,-,A,t,w,$,ajout_y
$,w,D,-,-,-,n,t,w,$,ajout_y
$,w,D,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,n,w,$,ajout_y
$,w,D,-,-,-,t,n,w,$,ajout_y
$,w,D,-,-,-,A,t,w,$,ajout_y
$,w,n,-,-,-,n,t,w,$,ajout_y
$,w,n,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,E,w,$,ajout_y
$,w,n,-,-,-,A,t,w,$,ajout_y
$,w,m,-,-,-,n,t,w,$,ajout_y
$,w,m,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,f,w,$,ajout_y
$,w,m,-,-,-,t,f,w,$,ajout_y
$,w,m,-,-,-,A,t,w,$,ajout_y
$,w,T,-,-,-,n,t,w,$,ajout_y
$,w,T,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,t,x,w,$,ajout_y
$,w,T,-,-,-,t,x,w,$,ajout_y
$,y,A,w,$,-,n,t,w,$,ajout_y
$,y,A,w,$,-,y,t,w,$,ajout_y
$,y,A,t,w,$,t,E,w,$,ajout_y
$,y,A,w,$,-,t,E,w,$,ajout_y
$,y,A,w,$,-,A,t,w,$,ajout_y
$,w,d,-,-,-,n,t,w,$,ajout_y
$,w,t,-,-,-,t,E,w,$,ajout_y
$,w,d,-,-,-,A,t,w,$,ajout_y
$,w,H,-,-,-,n,r,w,$,ajout_y
$,w,H,-,-,-,t,r,w,$,ajout_y
$,w,H,-,-,-,y,r,w,$,ajout_y
$,w,t,-,-,-,A,r,w,$,ajout_y
$,w,H,-,-,-,A,r,w,$,ajout_y
$,w,H,-,-,-,A,r,w,$,ajout_y
$,w,r,-,-,-,n,x,w,$,ajout_y
$,w,r,-,-,-,t,x,w,$,ajout_y
$,w,r,-,-,-,y,x,w,$,ajout_y
$,w,r,-,-,-,y,t,w,$,ajout_y
$,w,t,-,-,-,A,x,w,$,ajout_y
$,w,r,-,-,-,A,x,w,$,ajout_y
$,w,r,-,-,-,A,x,w,$,ajout_y
$,w,m,-,-,-,n,H,w,$,ajout_y
$,w,m,-,-,-,t,H,w,$,ajout_y
$,w,m,-,-,-,y,H,w,$,ajout_y
$,w,t,-,-,-,A,H,w,$,ajout_y
$,w,m,-,-,-,A,H,w,$,ajout_y
$,w,m,-,-,-,A,H,w,$,ajout_y
$,w,H,-,-,-,t,q,w,$,ajout_y
$,w,H,-,-,-,y,q,w,$,ajout_y
$,w,t,-,-,-,A,q,w,$,ajout_y
$,w,H,-,-,-,A,q,w,$,ajout_y
$,w,H,-,-,-,A,q,w,$,ajout_y
$,w,r,-,-,-,n,E,w,$,ajout_y
$,w,r,-,-,-,t,E,w,$,ajout_y
$,w,r,-,-,-,y,E,w,$,ajout_y
$,w,t,-,-,-,A,E,w,$,ajout_y
$,w,r,-,-,-,A,E,w,$,ajout_y
$,w,r,-,-,-,A,E,w,$,ajout_y
$,w,E,-,-,-,n,q,w,$,ajout_y
$,w,E,-,-,-,t,q,w,$,ajout_y
$,w,E,-,-,-,y,q,w,$,ajout_y
$,w,t,-,-,-,A,q,w,$,ajout_y
$,w,E,-,-,-,A,q,w,$,ajout_y
$,w,E,-,-,-,A,q,w,$,ajout_y
$,w,m,-,-,-,n,l,w,$,ajout_y
$,w,m,-,-,-,t,l,w,$,ajout_y
$,w,m,-,-,-,y,l,w,$,ajout_y
$,w,t,-,-,-,A,l,w,$,ajout_y
$,w,m,-,-,-,A,l,w,$,ajout_y
$,w,m,-,-,-,A,l,w,$,ajout_y
$,w,E,-,-,-,n,x,w,$,ajout_y
$,w,E,-,-,-,t,x,w,$,ajout_y
$,w,E,-,-,-,y,x,w,$,ajout_y
$,w,t,-,-,-,A,x,w,$,ajout_y
$,w,E,-,-,-,A,x,w,$,ajout_y
$,w,E,-,-,-,A,x,w,$,ajout_y
$,w,r,-,-,-,n,D,w,$,ajout_y
$,w,r,-,-,-,t,D,w,$,ajout_y
$,w,r,-,-,-,y,D,w,$,ajout_y
$,w,t,-,-,-,A,D,w,$,ajout_y
$,w,r,-,-,-,A,D,w,$,ajout_y
$,w,r,-,-,-,A,D,w,$,ajout_y
$,w,l,-,-,-,n,H,w,$,ajout_y
$,w,l,-,-,-,t,H,w,$,ajout_y
$,w,l,-,-,-,y,H,w,$,ajout_y
$,w,t,-,-,-,A,H,w,$,ajout_y
$,w,l,-,-,-,A,H,w,$,ajout_y
$,w,l,-,-,-,A,H,w,$,ajout_y
$,t,k,f,w,$,n,k,w,$,ajout_y
$,t,k,f,w,$,t,k,w,$,ajout_y
$,t,k,f,w,$,y,k,w,$,ajout_y
$,t,k,f,t,w,A,k,w,$,ajout_y
$,t,k,f,w,$,A,k,w,$,ajout_y
$,t,k,f,w,$,A,k,w,$,ajout_y
$,w,l,-,-,-,n,H,w,$,ajout_y
$,w,l,-,-,-,t,H,w,$,ajout_y
$,w,l,-,-,-,y,H,w,$,ajout_y
$,w,t,-,-,-,A,H,w,$,ajout_y
$,w,l,-,-,-,A,H,w,$,ajout_y
$,w,l,-,-,-,A,H,w,$,ajout_y
$,w,b,-,-,-,n,n,w,$,ajout_y
$,w,b,-,-,-,t,n,w,$,ajout_y
$,w,b,-,-,-,y,n,w,$,ajout_y
$,w,t,-,-,-,A,n,w,$,ajout_y
$,w,b,-,-,-,A,n,w,$,ajout_y
$,w,b,-,-,-,A,n,w,$,ajout_y
$,w,m,-,-,-,t,E,w,$,ajout_y
$,w,m,-,-,-,y,E,w,$,ajout_y
$,w,t,-,-,-,A,E,w,$,ajout_y
$,w,m,-,-,-,A,E,w,$,ajout_y
$,w,m,-,-,-,A,E,w,$,ajout_y
$,w,l,-,-,-,n,s,w,$,ajout_y
$,w,l,-,-,-,t,s,w,$,ajout_y
$,w,l,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,n,s,w,$,ajout_y
$,w,r,-,-,-,t,s,w,$,ajout_y
$,w,r,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,A,s,w,$,ajout_y
$,w,q,-,-,-,n,s,w,$,ajout_y
$,w,q,-,-,-,t,s,w,$,ajout_y
$,w,q,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,q,-,-,-,A,s,w,$,ajout_y
$,w,q,-,-,-,A,s,w,$,ajout_y
$,w,b,-,-,-,n,s,w,$,ajout_y
$,w,b,-,-,-,t,s,w,$,ajout_y
$,w,b,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,b,-,-,-,A,s,w,$,ajout_y
$,w,b,-,-,-,A,s,w,$,ajout_y
$,w,E,-,-,-,n,s,w,$,ajout_y
$,w,E,-,-,-,t,s,w,$,ajout_y
$,w,E,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,E,-,-,-,A,s,w,$,ajout_y
$,w,E,-,-,-,A,s,w,$,ajout_y
$,w,Z,-,-,-,n,s,w,$,ajout_y
$,w,Z,-,-,-,t,s,w,$,ajout_y
$,w,Z,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,Z,-,-,-,A,s,w,$,ajout_y
$,w,Z,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,n,s,w,$,ajout_y
$,w,r,-,-,-,t,s,w,$,ajout_y
$,w,r,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,A,s,w,$,ajout_y
$,w,h,-,-,-,n,s,w,$,ajout_y
$,w,h,-,-,-,t,s,w,$,ajout_y
$,w,h,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,h,-,-,-,A,s,w,$,ajout_y
$,w,h,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,n,s,w,$,ajout_y
$,w,l,-,-,-,t,s,w,$,ajout_y
$,w,l,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,d,-,-,-,n,s,w,$,ajout_y
$,w,d,-,-,-,t,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,d,-,-,-,A,s,w,$,ajout_y
$,w,d,-,-,-,A,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,n,s,w,$,ajout_y
$,w,l,-,-,-,t,s,w,$,ajout_y
$,w,l,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,n,s,w,$,ajout_y
$,w,l,-,-,-,t,s,w,$,ajout_y
$,w,l,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,j,-,-,-,n,s,w,$,ajout_y
$,w,j,-,-,-,t,s,w,$,ajout_y
$,w,j,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,j,-,-,-,A,s,w,$,ajout_y
$,w,j,-,-,-,A,s,w,$,ajout_y
$,w,m,-,-,-,n,s,w,$,ajout_y
$,w,m,-,-,-,t,s,w,$,ajout_y
$,w,m,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,m,-,-,-,A,s,w,$,ajout_y
$,w,m,-,-,-,A,s,w,$,ajout_y
$,t,s,h,d,w,n,s,w,$,ajout_y
$,t,s,h,d,w,t,s,w,$,ajout_y
$,t,s,h,d,w,y,s,w,$,ajout_y
$,t,s,h,d,t,A,s,w,$,ajout_y
$,t,s,h,d,w,A,s,w,$,ajout_y
$,t,s,h,d,w,A,s,w,$,ajout_y
$,w,b,-,-,-,n,s,w,$,ajout_y
$,w,b,-,-,-,t,s,w,$,ajout_y
$,w,b,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,b,-,-,-,A,s,w,$,ajout_y
$,w,b,-,-,-,A,s,w,$,ajout_y
$,w,d,-,-,-,n,s,w,$,ajout_y
$,w,d,-,-,-,t,s,w,$,ajout_y
$,w,d,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,d,-,-,-,A,s,w,$,ajout_y
$,w,d,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,n,s,w,$,ajout_y
$,w,r,-,-,-,t,s,w,$,ajout_y
$,w,r,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,n,s,w,$,ajout_y
$,w,r,-,-,-,t,s,w,$,ajout_y
$,w,r,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,A,s,w,$,ajout_y
$,w,r,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,n,s,w,$,ajout_y
$,w,l,-,-,-,t,s,w,$,ajout_y
$,w,l,-,-,-,y,s,w,$,ajout_y
$,w,t,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,w,l,-,-,-,A,s,w,$,ajout_y
$,_,H,y,-,-,n,k,$,y,supp_esp
$,_,H,y,-,-,t,k,$,y,supp_esp
$,_,H,y,-,-,y,k,$,y,supp_esp
$,_,t,y,-,-,k,H,$,y,supp_esp
$,_,A,y,-,-,k,H,$,y,supp_esp
$,_,H,y,-,-,k,H,$,y,supp_esp
$,_,t,y,-,-,k,H,$,y,supp_esp
$,_,S,y,-,-,n,g,$,y,supp_esp
$,_,S,y,-,-,t,g,$,y,supp_esp
$,_,S,y,-,-,y,g,$,y,supp_esp
$,_,t,y,-,-,g,S,$,y,supp_esp
$,_,A,y,-,-,g,S,$,y,supp_esp
$,_,S,y,-,-,g,S,$,y,supp_esp
$,_,t,y,-,-,g,S,$,y,supp_esp
$,_,l,y,-,-,n,T,$,y,supp_esp
$,_,l,y,-,-,t,T,$,y,supp_esp
$,_,l,y,-,-,y,T,$,y,supp_esp
$,_,t,y,-,-,T,l,$,y,supp_esp
$,_,A,y,-,-,T,l,$,y,supp_esp
$,_,l,y,-,-,T,l,$,y,supp_esp
$,_,t,y,-,-,T,l,$,y,supp_esp
$,g,n,_,$,y,n,g,$,y,supp_esp
$,g,t,_,$,y,t,g,$,y,supp_esp
$,g,y,_,$,y,y,g,$,y,supp_esp
$,g,-,y,t,_,g,$,$,y,supp_esp
$,g,-,y,n,A,g,$,$,y,supp_esp
$,g,-,_,$,y,g,$,$,y,supp_esp
$,g,-,t,_,$,g,$,$,y,supp_esp
$,n,-,k,_,$,n,$,$,y,supp_esp
$,t,-,k,_,$,t,$,$,y,supp_esp
$,y,-,k,_,$,y,$,$,y,supp_esp
$,-,-,k,y,t,$,k,$,y,supp_esp
$,-,-,k,y,n,$,k,$,y,supp_esp
$,-,-,k,_,$,$,k,$,y,supp_esp
$,-,-,k,t,_,$,k,$,y,supp_esp
$,_,f,y,-,-,n,T,$,y,supp_esp
$,_,f,y,-,-,t,T,$,y,supp_esp
$,_,f,y,-,-,y,T,$,y,supp_esp
$,_,t,y,-,-,T,f,$,y,supp_esp
$,_,A,y,-,-,T,f,$,y,supp_esp
$,_,f,y,-,-,T,f,$,y,supp_esp
$,_,t,y,-,-,T,f,$,y,supp_esp
$,_,z,y,-,-,n,l,$,y,supp_esp
$,_,z,y,-,-,t,l,$,y,supp_esp
$,_,z,y,-,-,y,l,$,y,supp_esp
$,_,t,y,-,-,l,z,$,y,supp_esp
$,_,A,y,-,-,l,z,$,y,supp_esp
$,_,z,y,-,-,l,z,$,y,supp_esp
$,_,t,y,-,-,l,z,$,y,supp_esp
$,_,r,y,-,-,n,D,$,y,supp_esp
$,_,r,y,-,-,t,D,$,y,supp_esp
$,_,r,y,-,-,y,D,$,y,supp_esp
$,_,r,y,-,-,y,t,$,y,supp_esp
$,_,r,y,-,-,t,t,$,y,supp_esp
$,_,t,y,-,-,D,r,$,y,supp_esp
$,_,A,y,-,-,D,r,$,y,supp_esp
$,_,r,y,-,-,D,r,$,y,supp_esp
$,_,t,y,-,-,D,r,$,y,supp_esp
$,_,t,y,-,-,t,D,$,y,supp_esp
$,_,q,y,-,-,n,d,$,y,supp_esp
$,_,q,y,-,-,t,d,$,y,supp_esp
$,_,q,y,-,-,y,d,$,y,supp_esp
$,_,q,y,-,-,y,t,$,y,supp_esp
$,_,q,y,-,-,t,t,$,y,supp_esp
$,_,t,y,-,-,d,q,$,y,supp_esp
$,_,A,y,-,-,d,q,$,y,supp_esp
$,_,q,y,-,-,d,q,$,y,supp_esp
$,_,t,y,-,-,d,q,$,y,supp_esp
$,_,t,y,-,-,t,d,$,y,supp_esp
$,n,-,q,_,$,n,$,$,y,supp_esp
$,t,-,q,_,$,t,$,$,y,supp_esp
$,y,-,q,_,$,y,$,$,y,supp_esp
$,t,y,q,_,$,y,t,$,y,supp_esp
$,t,t,q,_,$,t,t,$,y,supp_esp
$,-,-,q,y,t,$,q,$,y,supp_esp
$,-,-,q,y,n,$,q,$,y,supp_esp
$,-,-,q,_,$,$,q,$,y,supp_esp
$,-,-,q,t,_,$,q,$,y,supp_esp
$,t,-,q,t,_,t,$,$,y,supp_esp
$,_,S,y,-,-,n,q,$,y,supp_esp
$,_,S,y,-,-,t,q,$,y,supp_esp
$,_,S,y,-,-,y,q,$,y,supp_esp
$,_,S,y,-,-,y,t,$,y,supp_esp
$,_,S,y,-,-,t,t,$,y,supp_esp
$,_,t,y,-,-,q,S,$,y,supp_esp
$,_,A,y,-,-,q,S,$,y,supp_esp
$,_,S,y,-,-,q,S,$,y,supp_esp
$,_,t,y,-,-,q,S,$,y,supp_esp
$,_,t,y,-,-,t,q,$,y,supp_esp
$,r,n,_,$,y,n,r,$,y,supp_esp
$,r,t,_,$,y,t,r,$,y,supp_esp
$,r,y,_,$,y,y,r,$,y,supp_esp
$,r,t,_,$,y,y,t,$,y,supp_esp
$,r,t,_,$,y,t,t,$,y,supp_esp
$,r,-,y,t,_,r,$,$,y,supp_esp
$,r,-,y,n,A,r,$,$,y,supp_esp
$,r,-,_,$,y,r,$,$,y,supp_esp
$,r,-,t,_,$,r,$,$,y,supp_esp
